amp_id,KB GIA,region,site,date,detection_type,species_capture,svl_mm,body_mass_g,sex,life_stage,bd_swab_id,average_copy_number
2022-05-18-admin-raca1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-18-admin-raca10,7/11/23,pennsylvania,admin_pond,2022-05-18,capture,rana_catesbeiana,53.3,12.2,unknown,juvenile,2022-05-18-admin-raca10,123.9739990234375
2022-05-18-admin-raca12,7/11/23,pennsylvania,admin_pond,2022-05-18,capture,rana_catesbeiana,51,12.75,unknown,juvenile,2022-05-18-admin-raca12,36.69695281982422
2022-05-18-admin-raca14,7/7/23,pennsylvania,admin_pond,2022-05-18,capture,rana_catesbeiana,62.5,20.5,unknown,juvenile,2022-05-18-admin-raca14,635.55511474609375
2022-05-18-admin-rapi18,NA,pennsylvania,admin_pond,2022-05-18,capture,rana_pipiens,54.9,10.75,female,adult,2022-05-18-admin-rapi18,11603.6640625
2022-05-18-admin-raca4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-18-admin-raca6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-18-admin-raca7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-05-18-admin-raca9,NA,pennsylvania,admin_pond,2022-05-18,capture,rana_catesbeiana,57.1,16,unknown,juvenile,2022-05-18-admin-raca9,93.10057830810548
2022-05-18-admin-raca15,NA,pennsylvania,admin_pond,2022-05-18,capture,rana_catesbeiana,53.6,14,unknown,juvenile,2022-05-18-admin-raca15,923.95379638671875
2022-05-18-admin-rapi16,NA,pennsylvania,admin_pond,2022-05-18,capture,rana_pipiens,69.8,28,female,adult,2022-05-18-admin-rapi16,11241.6748046875
2022-05-18-admin-rapi17,NA,pennsylvania,admin_pond,2022-05-18,capture,rana_pipiens,72.9,31,female,adult,2022-05-18-admin-rapi17,623.7047119140625
2022-05-19-admin-rapi3,NA,pennsylvania,admin_pond,2022-05-19,capture,rana_pipiens,49.5,8.5,female,adult,2022-05-19-admin-rapi3,36575.71484375
2022-05-19-admin-rapi1,NA,pennsylvania,admin_pond,2022-05-19,capture,rana_pipiens,57,15,female,adult,2022-05-19-admin-rapi1,2624.231201171875
2022-05-19-admin-rapi2,NA,pennsylvania,admin_pond,2022-05-19,capture,rana_pipiens,66.5,22.5,female,adult,2022-05-19-admin-rapi2,18092.2734375
2022-5-18-admin neg c,7/7/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
